source,target,value
 autocad, 2010,0.1
 корабли, лавировали,0.8999999999999999
 лавировали, да,1.2
 да, не,2.9000000000000012
 по, французски,0.2
 французски, не,0.2
 что, это,4.200000000000001
 добрый, день,0.6
 уважаемые, дамы,0.2
 дамы, и,0.5
 день, уважаемые,0.1
 шла, саша,0.7
 саша, по,1.3
 и, сосала,0.7
 по, шоссе,1.0999999999999999
 шоссе, и,1.4000000000000001
 рак, за,1.0999999999999999
 сунул, грека,1.8000000000000005
 грека, в,2.1000000000000005
 в, реку,1.3
 реку, руку,0.2
 руку, рак,0.1
 за, руку,1.0999999999999999
 руку, грека,0.4
 гнев, богиня,0.2
 богиня, воспой,0.1
 человек, без,0.2
 я, человек,0.5
 создан, для,0.2
 я, создан,0.2
 разбоя, и,0.2
 для, вредительство,0.1
 вредительство, разбоя,0.1
 ты, будешь,5.099999999999998
 будешь, когда,0.1
 можно, ли,0.2
 будешь, когда-нибудь,0.2
 когда-нибудь, работать,0.4
 работать, можно,0.2
 я, без,0.4
 мама, я,0.7999999999999999
 бесконечном, холодном,0.2
 страшновато, бесконечном,0.2
 мне, страшновато,0.1
 заточка, в,0.1
 на, траве,0.6
 траве, дрова,0.30000000000000004
 дрова, на,0.4
 на, дворе,0.7
 заглавная, буква,0.7999999999999999
 петрушка, вязать,0.1
 петрушка, вяжет,0.1
 на, севере,0.7
 севере, диком,0.1
 диком, стоит,0.1
 лукоморья, дуб,0.9999999999999999
 что, у,1.7000000000000004
 я, узнал,0.7999999999999999
 узнал, что,0.8999999999999999
 есть, огромная,0.4
 меня, есть,0.9999999999999999
 не, выходи,1.5000000000000002
 выходи, из,1.4000000000000001
 не, совершай,0.7
 мы, одни,0.2
 одни, на,0.6
 на, этом,0.8999999999999999
 карл, у,0.7999999999999999
 у, клары,0.8999999999999999
 клары, украл,0.5
 на, марсе,0.2
 марсе, можно,0.1
 можно, выращивать,0.1
 в, россии,0.5
 россии, очень,0.30000000000000004
 очень, вкусные,0.1
 напрасно, ты,0.2
 ты, мне,5.799999999999995
 космосе, нет,0.1
 ты, думаешь,1.5000000000000002
 думаешь, по,0.30000000000000004
 по, поводу,0.6
 морковка, огурцы,0.1
 елка, дед,0.1
 дед, мороз,1.2
 мороз, приносить,0.1
 мороз, приносите,0.1
 ты, лучше,0.30000000000000004
 у, паши,0.2
 паши, длинные,0.1
 мы, что,0.1
 мы, что-то,0.5
 как, понять,0.8999999999999999
 что, мы,3.800000000000002
 только, одно,0.1
 лес, точно,0.2
 точно, терем,0.1
 миша, тоже,0.1
 лиза, девочка,0.1
 лиза, девочка-припевочка,0.1
 синь, и,0.1
 как, пройти,1.6000000000000003
 пройти, на,0.8999999999999999
 какое, расстояние,0.2
 расстояние, до,0.4
 сейчас, она,0.4
 и, груду,0.30000000000000004
 она, сидела,0.8999999999999999
 сидела, на,0.5
 на, полу,0.30000000000000004
 полу, и,0.4
 груду, писем,0.2
 где, мой,0.6
 мой, хороший,0.1
 дима, хороший,0.1
 а, где,1.5000000000000002
 где, находится,1.5000000000000002
 находится, солнечное,0.2
 золотая, на,0.30000000000000004
 ночевала, тучка,0.2
 тучка, золотая,0.2
 на, груди,0.1
 груди, утеса,0.1
 слава, украине,0.4
 украине, героям,0.30000000000000004
 вы, так,0.4
 так, с,0.4
 зачем, вы,0.5
 он, не,5.299999999999997
 не, хочет,1.3
